GRIDSIZEKM,GRID_ID,STATE,AREA_SQKM,Albers_X,Albers_Y,Latitude,Longitude,Shape_Length,Shape_Area,GRTS_No,Sample,Surveyed2017,SiteType2017
15.000000000000000,11732.000000000000000,Wyoming,225,-1134238.536664251936600,2352560.477479834109545,43.406777079999998,-110.122289640000005,60000.000165626879607,225000001.242201536893845,Id-510,No,No,
15.000000000000000,11733.000000000000000,Wyoming,225,-1119484.606863705441356,2349854.640212375205010,43.402242250000000,-109.936324959999993,60000.000049229303841,225000000.369219690561295,Id-154,Yes,Yes,Bait
15.000000000000000,11734.000000000000000,Wyoming,225,-1104730.677072042832151,2347148.803007791284472,43.397444710000002,-109.750385559999998,59999.999816432122316,224999998.623240947723389,Id-390,No,No,
15.000000000000000,11735.000000000000000,Wyoming,225,-1089976.747272042790428,2344442.965807791333646,43.392384520000000,-109.564472859999995,60000.000049229296565,225000000.369219720363617,Id-624,No,No,
15.000000000000000,11356.000000000000000,Wyoming,225,-1201371.767599999671802,2319122.037000000011176,43.019443819999999,-110.880220300000005,59999.999932829545287,224999999.496221601963043,Id-267,No,No,
15.000000000000000,11357.000000000000000,Wyoming,225,-1186617.837799999862909,2316416.199749999679625,43.015983009999999,-110.695254300000002,59999.999968909483869,224999999.766821146011353,Id-019,Yes,Yes,Bait
15.000000000000000,11358.000000000000000,Wyoming,225,-1171863.907972042681649,2313710.362507790792733,43.012260970000000,-110.510307560000001,60000.000049229296565,225000000.369219720363617,Id-386,No,No,
15.000000000000000,11362.000000000000000,Wyoming,225,-1112848.188720165984705,2302887.013564252294600,42.994761570000001,-109.770741150000006,60000.000165627548995,225000001.242206573486328,Id-190,No,Yes,Bait
15.000000000000000,11363.000000000000000,Wyoming,225,-1098094.258922042557970,2300181.176357791293412,42.989734179999999,-109.585911659999994,60000.000049229965953,225000000.369224756956100,Id-373,No,No,
15.000000000000000,11364.000000000000000,Wyoming,225,-1083340.329149999655783,2297475.339150000363588,42.984445890000003,-109.401109809999994,60000.000165627541719,225000001.242206573486328,Id-617,No,No,
15.000000000000000,11365.000000000000000,Wyoming,225,-1068586.399335747817531,2294769.501920166425407,42.978896779999999,-109.216336979999994,60000.000165628211107,225000001.242211610078812,Id-126,Yes,Yes,Bait
15.000000000000000,11481.000000000000000,Wyoming,225,-1183912.000556460814551,2331170.129551876336336,43.150227889999996,-110.690296020000005,60000.000049229296565,225000000.369219720363617,Id-083,Yes,Yes,Bait
15.000000000000000,11482.000000000000000,Wyoming,225,-1169158.070763705298305,2328464.292312374804169,43.146497810000000,-110.504988929999996,60000.000049228619901,225000000.369214653968811,Id-035,Yes,Yes,Bait
15.000000000000000,11485.000000000000000,Wyoming,225,-1124896.281329833669588,2320346.780635748058558,43.133737320000002,-109.949197940000005,60000.000129549771373,225000000.971623301506042,Id-195,No,Yes,Bait
15.000000000000000,11486.000000000000000,Wyoming,225,-1110142.351499999873340,2317640.943400000222027,43.128960589999998,-109.763982400000003,59999.999932830374746,224999999.496227800846100,Id-377,No,No,
15.000000000000000,11487.000000000000000,Wyoming,225,-1095388.421699999831617,2314935.106200000271201,43.123922340000000,-109.578793250000004,59999.999932831044134,224999999.496232837438583,Id-455,No,No,
